,age,workclass,fnlwgt
0,39, State-gov,77516
1,50, Self-emp-not-inc,83311
2,38, Private,215646
3,53, Private,234721
4,28, Private,338409
5,37, Private,284582
6,49, Private,160187
7,52, Self-emp-not-inc,209642
8,31, Private,45781
9,42, Private,159449
10,37, Private,280464
11,30, State-gov,141297
12,23, Private,122272
13,32, Private,205019
14,40, Private,121772
15,34, Private,245487
16,25, Self-emp-not-inc,176756
17,32, Private,186824
18,38, Private,28887
19,43, Self-emp-not-inc,292175
20,40, Private,193524
21,54, Private,302146
22,35, Federal-gov,76845
23,43, Private,117037
24,59, Private,109015
25,56, Local-gov,216851
26,19, Private,168294
27,54, ?,180211
28,39, Private,367260
29,49, Private,193366
30,23, Local-gov,190709
31,20, Private,266015
32,45, Private,386940
33,30, Federal-gov,59951
34,22, State-gov,311512
35,48, Private,242406
36,21, Private,197200
37,19, Private,544091
38,31, Private,84154
39,48, Self-emp-not-inc,265477
40,31, Private,507875
41,53, Self-emp-not-inc,88506
42,24, Private,172987
43,49, Private,94638
44,25, Private,289980
45,57, Federal-gov,337895
46,53, Private,144361
47,44, Private,128354
48,41, State-gov,101603
49,29, Private,271466
50,25, Private,32275
51,18, Private,226956
52,47, Private,51835
53,50, Federal-gov,251585
54,47, Self-emp-inc,109832
55,43, Private,237993
56,46, Private,216666
57,35, Private,56352
58,41, Private,147372
59,30, Private,188146
60,30, Private,59496
61,32, ?,293936
62,48, Private,149640
63,42, Private,116632
64,29, Private,105598
65,36, Private,155537
66,28, Private,183175
67,53, Private,169846
68,49, Self-emp-inc,191681
69,25, ?,200681
70,19, Private,101509
71,31, Private,309974
72,29, Self-emp-not-inc,162298
73,23, Private,211678
74,79, Private,124744
75,27, Private,213921
76,40, Private,32214
77,67, ?,212759
78,18, Private,309634
79,31, Local-gov,125927
80,18, Private,446839
81,52, Private,276515
82,46, Private,51618
83,59, Private,159937
84,44, Private,343591
85,53, Private,346253
86,49, Local-gov,268234
87,33, Private,202051
88,30, Private,54334
89,43, Federal-gov,410867
90,57, Private,249977
91,37, Private,286730
92,28, Private,212563
93,30, Private,117747
94,34, Local-gov,226296
95,29, Local-gov,115585
96,48, Self-emp-not-inc,191277
97,37, Private,202683
98,48, Private,171095
99,32, Federal-gov,249409
100,76, Private,124191
101,44, Private,198282
102,47, Self-emp-not-inc,149116
103,20, Private,188300
104,29, Private,103432
105,32, Self-emp-inc,317660
106,17, ?,304873
107,30, Private,194901
108,31, Local-gov,189265
109,42, Private,124692
110,24, Private,432376
111,38, Private,65324
112,56, Self-emp-not-inc,335605
113,28, Private,377869
114,36, Private,102864
115,53, Private,95647
116,56, Self-emp-inc,303090
117,49, Local-gov,197371
118,55, Private,247552
119,22, Private,102632
120,21, Private,199915
121,40, Private,118853
122,30, Private,77143
123,29, State-gov,267989
124,19, Private,301606
125,47, Private,287828
126,20, Private,111697
127,31, Private,114937
128,35, ?,129305
129,39, Private,365739
130,28, Private,69621
131,24, Private,43323
132,38, Self-emp-not-inc,120985
133,37, Private,254202
134,46, Private,146195
135,38, Federal-gov,125933
136,43, Self-emp-not-inc,56920
137,27, Private,163127
138,20, Private,34310
139,49, Private,81973
140,61, Self-emp-inc,66614
141,27, Private,232782
142,19, Private,316868
143,45, Private,196584
144,70, Private,105376
145,31, Private,185814
146,22, Private,175374
147,36, Private,108293
148,64, Private,181232
149,43, ?,174662
150,47, Local-gov,186009
151,34, Private,198183
152,33, Private,163003
153,21, Private,296158
154,52, ?,252903
155,48, Private,187715
156,23, Private,214542
157,71, Self-emp-not-inc,494223
158,29, Private,191535
159,42, Private,228456
160,68, ?,38317
161,25, Private,252752
162,44, Self-emp-inc,78374
163,28, Private,88419
164,45, Self-emp-not-inc,201080
165,36, Private,207157
166,39, Federal-gov,235485
167,46, State-gov,102628
168,18, Private,25828
169,66, Local-gov,54826
170,27, Private,124953
171,28, State-gov,175325
172,51, Private,96062
173,27, Private,428030
174,28, State-gov,149624
175,27, Private,253814
176,21, Private,312956
177,34, Private,483777
178,18, Private,183930
179,33, Private,37274
180,44, Local-gov,181344
181,43, Private,114580
182,30, Private,633742
183,40, Private,286370
184,37, Federal-gov,29054
185,34, Private,304030
186,41, Self-emp-not-inc,143129
187,53, ?,135105
188,31, Private,99928
189,58, State-gov,109567
190,38, Private,155222
191,24, Private,159567
192,41, Local-gov,523910
193,47, Private,120939
194,41, Federal-gov,130760
195,23, Private,197387
196,36, Private,99374
197,40, Federal-gov,56795
198,35, Private,138992
199,24, Self-emp-not-inc,32921
200,26, Private,397317
201,19, ?,170653
202,51, Private,259323
203,42, Local-gov,254817
204,37, State-gov,48211
205,18, Private,140164
206,36, Private,128757
207,35, Private,36270
208,58, Self-emp-inc,210563
209,17, Private,65368
210,44, Local-gov,160943
211,37, Private,208358
212,35, Private,153790
213,60, Private,85815
214,54, Self-emp-inc,125417
215,37, Private,635913
216,50, Private,313321
217,38, Private,182609
218,45, Private,109434
219,25, Private,255004
220,31, Private,197860
221,64, ?,187656
222,90, Private,51744
223,54, Private,176681
224,53, Local-gov,140359
225,18, Private,243313
226,60, ?,24215
227,66, Self-emp-not-inc,167687
228,75, Private,314209
229,65, Private,176796
230,35, Private,538583
231,41, Private,130408
232,25, Private,159732
233,33, Private,110978
234,28, Private,76714
235,59, State-gov,268700
236,40, State-gov,170525
237,41, Private,180138
238,38, Local-gov,115076
239,23, Private,115458
240,40, Private,347890
241,41, Self-emp-not-inc,196001
242,24, State-gov,273905
243,20, ?,119156
244,38, Private,179488
245,56, Private,203580
246,58, Private,236596
247,32, Private,183916
248,40, Private,207578
249,45, Private,153141
250,41, Private,112763
251,42, Private,390781
252,59, Local-gov,171328
253,19, Local-gov,27382
254,58, Private,259014
255,42, Self-emp-not-inc,303044
256,20, Private,117789
257,32, Private,172579
258,45, Private,187666
259,50, Private,204518
260,36, Private,150042
261,45, Private,98092
262,17, Private,245918
263,59, Private,146013
264,26, Private,378322
265,37, Self-emp-inc,257295
266,19, ?,218956
267,64, Private,21174
268,33, Private,185480
269,33, Private,222205
270,61, Private,69867
271,17, Private,191260
272,50, Self-emp-not-inc,30653
273,27, Local-gov,209109
274,30, Private,70377
275,43, Private,477983
276,44, Private,170924
277,35, Private,190174
278,25, Private,193787
279,24, Private,279472
280,22, Private,34918
281,42, Local-gov,97688
282,34, Private,175413
283,60, Private,173960
284,21, Private,205759
285,57, Federal-gov,425161
286,41, Private,220531
287,50, Private,176609
288,25, Private,371987
289,50, Private,193884
290,36, Private,200352
291,31, Private,127595
292,29, Local-gov,220419
293,21, Private,231931
294,27, Private,248402
295,65, Private,111095
296,37, Self-emp-inc,57424
297,39, ?,157443
298,24, Private,278130
299,38, Private,169469
300,48, Private,146268
301,21, Private,153718
302,31, Private,217460
303,55, Private,238638
304,24, Private,303296
305,43, Private,173321
306,26, Private,193945
307,46, Private,83082
308,35, Private,193815
309,41, Self-emp-inc,34987
310,26, Private,59306
311,34, Private,142897
312,19, ?,860348
313,36, Self-emp-not-inc,205607
314,22, Private,199698
315,24, Private,191954
316,77, Self-emp-not-inc,138714
317,22, Private,399087
318,29, Private,423158
319,62, Private,159841
320,39, Self-emp-not-inc,174308
321,43, Private,50356
322,35, Private,186110
323,29, Private,200381
324,76, Self-emp-not-inc,174309
325,63, Self-emp-not-inc,78383
326,23, ?,211601
327,43, Private,187728
328,58, Self-emp-not-inc,321171
329,66, Private,127921
330,41, Private,206565
331,26, Private,224563
332,47, Private,178686
333,55, Local-gov,98545
334,53, Private,242606
335,17, Private,270942
336,30, Private,94235
337,49, Private,71195
338,19, Private,104112
339,45, Private,261192
340,26, Private,94936
341,38, Private,296478
342,36, State-gov,119272
343,33, Private,85043
344,22, State-gov,293364
345,43, Self-emp-not-inc,241895
346,67, ?,36135
347,30, ?,151989
348,56, Private,101128
349,31, Private,156464
350,33, Private,117963
351,26, Private,192262
352,33, Private,111363
353,46, Local-gov,329752
354,59, ?,372020
355,38, Federal-gov,95432
356,65, Private,161400
357,40, Private,96129
358,42, Private,111949
359,26, Self-emp-not-inc,117125
360,36, Private,348022
361,62, Private,270092
362,43, Private,180609
363,43, Private,174575
364,22, Private,410439
365,28, Private,92262
366,56, Self-emp-not-inc,183081
367,22, Private,362589
368,57, Private,212448
369,39, Private,481060
